"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"PinHeader_2x08_P2.54mm_Vertical";1;"PinHeader_2x08_P2.54mm_Vertical";;;
2;"U6";"SOP-20_7.5x12.8mm_P1.27mm";1;"PT2258";;;
3;"U3,U1";"SO-14_3.9x8.65mm_P1.27mm";2;"TL074";;;
4;"R37,R36,R35,R34,R33,R32";"R_0805_2012Metric";6;"100k";;;
5;"R31,R29,R28,R24,R21,R20,R19,R18,R8,R7,R6,R5,R4";"R_0805_2012Metric";13;"10k";;;
6;"R30,R25,R15,R14";"R_0805_2012Metric";4;"4.7k";;;
7;"R27,R26,R23,R22,R17,R16,R13,R12,R11,R10,R9,R3,R2,R1";"R_0805_2012Metric";14;"1M";;;
8;"C34,C29,C15,C14";"C_0805_2012Metric";4;"150pf";;;
9;"C33,C32,C31,C30,C28,C27,C26,C25,C24,C23,C22,C21,C19,C18,C17,C16,C10,C9,C8,C6,C5,C4,C3";"C_Elec_4x5.4";23;"10uF";;;
10;"C20";"C_0805_2012Metric";1;"100nf";;;
11;"C13,C12";"C_Elec_4x5.4";2;"22uF";;;
12;"C11,C7,C2,C1";"C_0805_2012Metric";4;"220nF";;;
